Unnamed: 0,Rainfall,Temperature,ER,BF,QF,SF,ER_PIML_simulated,BF_PIML_simulated,QF_PIML_simulated,SF_PIML_Simulated
2019-07-12,6.6548527988469655,28.368982429504392,0.3633609184833964,0.0550565922823392,1.0637160390061668,1.118772631288506,0.18815067369369487,0.12443875521421432,1.7504160404205322,1.8748547956347466
2019-07-13,1.3170684740437029,28.993906745910643,0.0,0.0579778559108942,1.4063247604754825,1.4643026163863764,-0.08264322532783375,0.10955341160297394,1.5116755962371826,1.6212290078401566
2019-07-14,2.6812714672354465,29.08177734375,0.0,0.0611836972215921,1.533430970003542,1.594614667225134,-0.05485740472875378,0.08926677703857422,1.1628165245056152,1.2520833015441895
2019-07-15,1.7556941162952235,29.292278366088865,0.0,0.0642945611065114,1.507944532920424,1.5722390940269355,-0.08604040835825089,0.0761553943157196,1.1046626567840576,1.1808180510997772
2019-07-16,0.7100409916798833,29.76004093170166,0.0,0.0672449889552246,1.4555582281149844,1.522803217070209,-0.043795187778373545,0.061391398310661316,0.8995103240013123,0.9609017223119736
2019-07-17,0.534655977425301,30.16769706726074,0.0,0.0699097777150247,1.3518063818359476,1.4217161595509722,-0.022030803681674982,0.04698135703802109,0.6679806709289551,0.7149620279669762
2019-07-18,2.11605913368679,30.21115493774414,0.0,0.0725044069597005,1.3341812426252395,1.4066856495849402,-0.06408558095072259,0.03105621039867401,0.4812743067741394,0.5123305171728134
2019-07-19,5.254534964078049,28.72791255950928,0.0,0.0754722925304105,1.4958851853183637,1.5713574778487738,0.04028266201225961,0.03836272656917572,0.38886559009552,0.42722831666469574
2019-07-20,15.015006356431003,27.58954357147217,0.2836526545439916,0.0789805358820183,1.7267884092734225,1.805768945155441,4.146116321198976,0.0516851544380188,0.33705374598503113,0.3887389004230499
2019-07-21,9.660227377317462,28.25838958740234,0.0,0.0829402208572174,1.9238634148149256,2.0068036356721435,1.0525329377134316,0.06042391061782837,0.4440237283706665,0.5044476389884949
2019-07-22,1.0644859950202452,29.19614360809326,0.0,0.0870722212141165,2.009702138671688,2.096774359885804,-0.07196974110079069,0.06335186213254929,0.4176982045173645,0.4810500666499138
2019-07-23,1.0365785307867426,29.34266834259033,0.0,0.0912750238469883,2.055119212173409,2.146394236020398,-0.07122991348423646,0.06448233127593994,0.3240945339202881,0.388576865196228
2019-07-24,2.129275898558433,29.67161556243897,0.0,0.0959008999004471,2.243516617993916,2.339417517894362,-0.06959822560472873,0.05891311168670654,0.3060395121574402,0.36495262384414673
2019-07-25,2.4699454420189344,28.646300010681152,0.0,0.1008258593630431,2.3834034519696594,2.4842293113327023,-0.0755025077636553,0.05607592314481735,0.2668963670730591,0.32297229021787643
2019-07-26,24.890950366015165,25.6670076751709,11.032428929394722,0.1062495319990081,2.605365272688638,2.7116148046876454,11.103369038804603,0.05736491084098816,0.24187779426574707,0.29924270510673523
2019-07-27,23.360883330375376,25.30070335388184,9.863031457722736,0.1114399529475126,2.5328521586183546,2.6442921115658677,9.942649808033194,0.051155127584934235,0.4699428677558899,0.5210979953408241
2019-07-28,20.465738014576026,24.770348777771,7.734731035772492,0.1159508601175971,2.2786280201222286,2.3945788802398265,7.906658984418154,0.057005494832992554,0.8533122539520264,0.9103177487850189
2019-07-29,31.2416944757034,24.46933464050293,16.1395581981478,0.1201964299489004,2.1894207418361304,2.309617171785032,16.321890173528878,0.056932561099529266,1.4583051204681396,1.515237681567669
2019-07-30,35.996918029768366,24.733366813659668,20.165140467537533,0.124525803769524,2.2405644176246646,2.365090221394188,20.4799207214061,0.04403237998485565,2.0725181102752686,2.116550490260124
2019-07-31,21.43567719901672,25.24308963775635,8.434302224801824,0.1289212719869454,2.284873978471988,2.413795250458933,8.541334185842922,0.07904255390167236,2.970853805541992,3.0498963594436646
2019-08-01,7.479026327740418,25.483193283081054,0.584331450815982,0.1334715721195408,2.365395936639654,2.498867508759196,0.4905141401539126,0.11307543516159058,3.957473039627075,4.070548474788666
2019-08-02,24.119615189049025,24.649135055542,10.439415897266768,0.1377115501828597,2.258126381267345,2.3958379314502043,10.54403839083664,0.09991494566202164,4.552942752838135,4.652857698500156
2019-08-03,40.62755362661512,24.758100814819336,24.204456391412894,0.1420456792614183,2.313438648893664,2.4554843281550816,24.411255818750938,0.12988413870334625,5.272217750549316,5.402101889252663
2019-08-04,15.646869732810298,26.04266304016113,4.510233011576988,0.1469546013798421,2.5638246778244165,2.7107792792042584,4.479977240347668,0.19131305813789368,6.591737747192383,6.7830508053302765
2019-08-05,6.6881180801407,26.36867771148681,0.3714046741738019,0.1527162073656029,2.9291035038584603,3.0818197112240626,0.2817990332686282,0.2661377787590027,7.078723430633545,7.344861209392548
2019-08-06,9.15401483906057,25.591073684692383,1.1586129738353603,0.1583265765277695,2.8911807901454014,3.0495073666731707,1.0867451570545317,0.2639042139053345,6.269082546234131,6.532986760139465
2019-08-07,34.526567362074005,24.982359199523927,18.90553183514041,0.1645052505877418,3.144108316387816,3.3086135669755574,19.191350115990318,0.27426016330718994,5.334475994110107,5.608736157417297
2019-08-08,32.325813665216515,24.649508209228514,17.04451239778689,0.1709096458452041,3.260568392029531,3.431478037874736,17.272884865658362,0.26846370100975037,5.284073829650879,5.552537530660629
2019-08-09,19.530067173528,25.6026224899292,7.074138603580209,0.1773490522991399,3.300692397743926,3.4780414500430656,7.140572255819267,0.2764095366001129,6.343764781951904,6.620174318552017
2019-08-10,3.41060158890178,27.26794563293457,0.0,0.1837869302644955,3.326157189360204,3.5099441196247003,-0.09119209012112428,0.31300199031829834,7.175506114959717,7.488508105278015
2019-08-11,1.5217574937837504,27.59111797332764,0.0,0.1902322329109393,3.355242426188377,3.5454746590993165,-0.08135123498177954,0.3061675429344177,6.659235000610352,6.965402543544769
